日付,本命単勝回収率,本命複勝回収率,穴馬単勝回収率,穴馬複勝回収率,本命レース数,本命単勝的中数,本命複勝的中数,EV馬数,EV単勝的中数,EV優先単勝回収率,EV優先複勝回収率
2026/03/29,25.8,46.1,0.0,70.6,36,4,12,64,0,0.0,65.8
2026/03/28,61.1,95.6,59.6,40.0,36,7,25,75,2,89.4,55.8
2026/03/22,43.9,138.9,271.5,141.3,36,7,26,75,7,76.7,87.2
2026/03/21,95.8,108.6,74.7,105.0,36,8,22,86,4,0.0,167.5
2026/03/15,37.2,107.2,101.3,111.2,36,2,19,75,4,53.9,109.4
