馬ID,父,父系,母,母系,母父,母父系
2013106012,キングカメハメハ,Mr.Prospector系,バプティスタ,FNo.[4-c],サンデーサイレンスSundaySilence(米),不明
2013106025,ディープインパクト,Halo系,ビワハイジ,FNo.[16-c],Caerleon(米),不明
2013106055,ダイワメジャー,Halo系,ブラックエンブレム,FNo.[3-c],ウォーエンブレムWarEmblem(米),不明
2013106297,アドマイヤムーン,Mr.Prospector系,スマートオーシャン,FNo.[2-f],Mr.Greeley,不明
2013106472,パイロPyro(米),SeattleSlew系,リスティアアスリー,FNo.[9-f],スピニングワールドSpinningWorld(米),不明
2013106474,マーベラスサンデー,Halo系,エイシンパンジー,FNo.[23-b],トニービンTonyBin(愛),不明
2013109027,クロフネ,DeputyMinister系,メイグレイス,FNo.[1-x],ネオユニヴァース,不明
2014100050,ジャングルポケット,ゼダーン系,アラマサダンサー,FNo.[4-l],ダンシングブレーヴDancingBrave(米),不明
2014100063,ディープインパクト,Halo系,オンワードミシェル,FNo.[11],アンバーシャダイ,不明
2014100190,ゴールドアリュール,Halo系,スナークヒロイン,FNo.[4-r],サクラバクシンオー,不明
2014100208,マンハッタンカフェ,Halo系,イクスキューズ,FNo.[3-l],ボストンハーバーBostonHarbor(米),不明
2014100235,コンデュイットConduit(愛),MillReef系,ベリーフ,FNo.[10-e],スペシャルウィーク,不明
2014100377,キンシャサノキセキ,Halo系,サクセスアイニー,FNo.[4-r],ジャングルポケット,不明
2014100521,ルーラーシップ,Mr.Prospector系,ラヴソレイユ,FNo.[4-r],フジキセキ,不明
2014100555,ディープインパクト,Halo系,ヤマニンエマイユ,FNo.[10-d],ホワイトマズルWhiteMuzzle(英),不明
2014100566,ヴィクトワールピサ,Halo系,ヤマニンプロローグ,FNo.[1-w],フレンチデピュティFrenchDeputy(米),不明
2014100576,トランセンド,Nearctic系,イコールパートナー,FNo.[9-f],カリズマティックCharismatic(米),不明
2014100583,ステイゴールド,Halo系,クリニエルドゥオル,FNo.[10-d],Cozzene,不明
2014100618,ゴールドアリュール,Halo系,ルミエールヴェリテ,FNo.[20],Cozzene,不明
2014100645,スペシャルウィーク,Halo系,アオゾラ,FNo.[5-h],ムーンバラッドMoonBallad(愛),不明
2014100656,ディープスカイ,Halo系,ザフェイツ,FNo.[1-k],ブライアンズタイムBrian'sTime(米),不明
2014100729,ダノンシャンティ,Halo系,マイネクォーツ,FNo.[3-o],タニノギムレット,不明
2014100782,ヴァーミリアン,Mr.Prospector系,カムアラウンド,FNo.[9],アドマイヤベガ,不明
2014100814,スクリーンヒーロー,Roberto系,ロワージRowaasi(英),FNo.[3-g],GreenDesert,不明
2014100971,ハーツクライ,Halo系,ファーストナイナー,FNo.[22],フォーティナイナーFortyNiner(米),不明
2014101029,ブレイクランアウト,Mr.Prospector系,ウェディングフジコ,FNo.[2-b],フジキセキ,不明
2014101173,ルーラーシップ,Mr.Prospector系,ナリタブルースター,FNo.[1-x],マンハッタンカフェ,不明
2014101302,ステイゴールド,Halo系,ケープタウンシチー,FNo.[14],シンボリクリスエス,不明
2014101308,アグネスデジタル,Mr.Prospector系,ケンチャメワン,FNo.[5-g],ミシエロMiCielo(米),不明
2014101340,プリサイスエンドPreciseEnd(米),Mr.Prospector系,ケージーヒトメボレ,FNo.[1-g],ジャングルポケット,不明
2014101462,スズカコーズウェイ,StormBird系,アイシースズカ,FNo.[13-e],サンデーサイレンスSundaySilence(米),不明
2014101586,キングカメハメハ,Mr.Prospector系,クリスタルコースト,FNo.[5-g],サンデーサイレンスSundaySilence(米),不明
2014101752,ローエングリン,sWells系,カフェドフレール,FNo.[1-r],マンハッタンカフェ,不明
2014101808,アグネスデジタル,Mr.Prospector系,ホッコーエクレール,FNo.[42],ダンスインザダーク,不明
2014101827,シンボリクリスエス,Roberto系,クリノスペシャル,FNo.[9-e],スペシャルウィーク,不明
2014101964,ダノンシャンティ,Halo系,バーグドール,FNo.[9-h],サクラバクシンオー,不明
2014101985,ハーツクライ,Halo系,ホワイトヴェール,FNo.[18],クロフネ,不明
2014102019,タイキシャトル,Halo系,ディープインアスク,FNo.[16-g],ディープインパクト,不明
2014102036,ダイワメジャー,Halo系,バイモユリ,FNo.[4-r],サクラローレル,不明
2014102088,サマーバードSummerBird(米),Mr.Prospector系,フィールザファン,FNo.[7],デュランダル,不明
2014102153,ストーミングホームStormingHome(英),Mr.Prospector系,クイーンオブナプレスQueenofNaples(英),FNo.[1-k],Singspiel(愛),不明
2014102163,ステイゴールド,Halo系,ザミリアZameyla(愛),FNo.[6-f],CapeCross,不明
2014102243,ドリームジャーニー,Halo系,カレイメモワール,FNo.[8-g],アドマイヤムーン,不明
2014102329,ファスリエフFasliyev(米),Nureyev系,プレシャスエルフ,FNo.[5-g],コロナドズクエストCoronado'sQuest(米),不明
2014102394,アドマイヤムーン,Mr.Prospector系,プライムオブユース,FNo.[1-c],DeputyMinister,不明
2014102449,アドマイヤムーン,Mr.Prospector系,ヴァルネリーナValnerina(愛),FNo.[1-l],Caerleon(米),不明
2014102558,ディープブリランテ,Halo系,ネオヴェリーベリー,FNo.[4-d],ホワイトマズルWhiteMuzzle(英),不明
2014102562,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,マイグリーン,FNo.[6-a],ダンシングブレーヴDancingBrave(米),不明
2014102625,アグネスデジタル,Mr.Prospector系,ダイメイダーク,FNo.[8-f],ダンスインザダーク,不明
2014102698,リーチザクラウン,Halo系,ショウナンアネーロ,FNo.[8-c],ダンスインザダーク,不明
2014102787,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,チヨノドラゴン,FNo.[10-a],バブルガムフェロー,不明
2014102862,ロージズインメイRosesinMay(米),Halo系,クリスチャンパール,FNo.[10-a],シンボリクリスエス,不明
2014102878,ダイワメジャー,Halo系,クライウィズジョイ,FNo.[9-f],トニービンTonyBin(愛),不明
2014102972,ケイムホームCameHome(米),Mr.Prospector系,ショコット,FNo.[5-e],デインヒルDanehill(米),不明
2014102973,メイショウボーラー,Halo系,シングフォアジョイ,FNo.[13-c],グラスワンダー,不明
2014103040,ルーラーシップ,Mr.Prospector系,エイシンサンサン,FNo.[8-c],キャロルハウスCarrollHouse(愛),不明
2014103095,サマーバードSummerBird(米),Mr.Prospector系,サウンドアリュール,FNo.[5-h],マンハッタンカフェ,不明
2014103156,タイキシャトル,Halo系,カルテブランシェ,FNo.[9-f],ゴールドアリュール,不明
2014103170,ルーラーシップ,Mr.Prospector系,ハートスプリンクル,FNo.[5-h],Sadler'sWells(米),不明
2014103189,タイキシャトル,Halo系,セトウチソーラー,FNo.[4-g],スペシャルウィーク,不明
2014103266,サマーバードSummerBird(米),Mr.Prospector系,メイショウフクヒメ,FNo.[21-a],バブルガムフェロー,不明
2014103358,ディープインパクト,Halo系,スズカフォイル,FNo.[9-e],フレンチデピュティFrenchDeputy(米),不明
2014103367,ネオユニヴァース,Halo系,テンイムホウ,FNo.[19-b],ラムタラLammtarra(米),不明
2014103394,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,スペシャルクイン,FNo.[1-w],スペシャルウィーク,不明
2014103514,メイショウボーラー,Halo系,パワフルリーフ,FNo.[22],ウイニングチケット,不明
2014103547,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,スマートオーシャン,FNo.[2-f],Mr.Greeley,不明
2014103551,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,ダンシングハピネス,FNo.[8-h],ダンスインザダーク,不明
2014103571,マンハッタンカフェ,Halo系,メイショウスズラン,FNo.[7-f],キングカメハメハ,不明
2014103584,スズカマンボ,Halo系,ルックアミリオン,FNo.[2-b],フレンチデピュティFrenchDeputy(米),不明
2014103603,サンライズペガサス,Halo系,ティボリサンライズ,FNo.[9-h],ティンバーカントリーTimberCountry(米),不明
2014103615,コンデュイットConduit(愛),MillReef系,ベルグチケット,FNo.[A34],ウイニングチケット,不明
2014103751,ダイワメジャー,Halo系,ラブレター,FNo.[22-b],ロックオブジブラルタル,不明
2014103795,ハーツクライ,Halo系,ウイングドキャットWingedCat(米),FNo.[13-c],StormCat(米),不明
2014103798,プリサイスエンドPreciseEnd(米),Mr.Prospector系,カクテルローズ,FNo.[23-b],タニノギムレット,不明
2014103896,マンハッタンカフェ,Halo系,エガオヨシ,FNo.[12-c],タイキシャトル,不明
2014103963,クロフネ,DeputyMinister系,クイーンマルサ,FNo.[9-e],ステイゴールド,不明
2014103971,パイロPyro(米),SeattleSlew系,オサマジョール,FNo.[5-h],アフリートAfleet(加),不明
2014104031,ハーツクライ,Halo系,サンタローズ,FNo.[4-r],パントレセレブルPeintreCelebre(米),不明
2014104048,ケイムホームCameHome(米),Mr.Prospector系,スターペスキサコ,FNo.[7-c],メジロマックイーン,不明
2014104052,ケイムホームCameHome(米),Mr.Prospector系,キティ,FNo.[4-m],NorthernAfleet,不明
2014104076,ジョーカプチーノ,Halo系,アクティブアクト,FNo.[10-a],ダンスインザダーク,不明
2014104092,ダイワメジャー,Halo系,クォリティシーズン,FNo.[23-b],トワイニングTwining(米),不明
2014104240,シニスターミニスターSinisterMinister(米),SeattleSlew系,ケイアイブーケ,FNo.[5-c],アドマイヤベガ,不明
2014104259,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,キョウエイトルース,FNo.[22-b],フジキセキ,不明
2014104274,コンデュイットConduit(愛),MillReef系,スマーティコジーン,FNo.[23-b],Cozzene,不明
2014104329,ベーカバドBehkabad(仏),Danzig系,サンドヴィーナス,FNo.[3-l],マンハッタンカフェ,不明
2014104386,ステイゴールド,Halo系,ハイアーラヴHigherLove(愛),FNo.[9-e],Sadler'sWells(米),不明
2014104432,ダイワメジャー,Halo系,スプリングサンダー,FNo.[7],クロフネ,不明
2014104449,ディープインパクト,Halo系,フレンチリヴィエラFrenchRiviera(米),FNo.[16-h],フレンチデピュティFrenchDeputy(米),不明
2014104516,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,ケイアイベローナ,FNo.[4-d],クロフネ,不明
2014104550,シンボリクリスエス,Roberto系,グラスブロード,FNo.[19],FusaichiPegasus,不明
2014104716,フリオーソ,Roberto系,シックスポケット,FNo.[1-s],カリズマティックCharismatic(米),不明
2014104735,ストリートセンスStreetSense(米),Mr.Prospector系,クロスザレイチェル,FNo.[2-b],スペシャルウィーク,不明
2014104841,シニスターミニスターSinisterMinister(米),SeattleSlew系,ハイジトウショウ,FNo.[14-c],バブルガムフェロー,不明
