馬ID,父,父系,母,母系,母父,母父系
2019100447,ドゥラメンテ,Mr.Prospector系,クラシカルバリュー,FNo.[9-f],Theatrical,不明
2019100448,エスポワールシチー,Halo系,ハワイアンアイ,FNo.[9-b],キングカメハメハ,不明
2019100450,バトルプランBattlePlan(米),Mr.Prospector系,ミントシャイン,FNo.[17-b],サンデーサイレンスSundaySilence(米),不明
2019100451,リオンディーズ,Mr.Prospector系,メモリーオブハース,FNo.[8-h],ディープインパクト,不明
2019100461,リオンディーズ,Mr.Prospector系,ハコダテローズ,FNo.[16-a],サクラバクシンオー,不明
2019100462,サトノアラジン,Halo系,ロイヤルフレア,FNo.[A1],フレンチデピュティFrenchDeputy(米),不明
2019100463,エスポワールシチー,Halo系,イチノヤジョウ,FNo.[10-e],アジュディケーティングAdjudicating(米),不明
2019100464,ハービンジャーHarbinger(英),Danzig系,サンデージョウ,FNo.[5-g],グラスワンダー,不明
2019100479,コパノリチャード,Halo系,キークッキー,FNo.[10-c],フサイチコンコルド,不明
2019100480,バトルプランBattlePlan(米),Mr.Prospector系,キーステージ,FNo.[10-c],ジェニュイン,不明
2019100481,バトルプランBattlePlan(米),Mr.Prospector系,キーツヨイ,FNo.[10-c],タバスコキャットTabascoCat(米),不明
2019100482,ディープスカイ,Halo系,キーレター,FNo.[2-s],リンドシェーバー,不明
2019100483,リオンディーズ,Mr.Prospector系,グローリサンディ,FNo.[2-g],エイシンサンディ,不明
2019100484,パイロPyro(米),SeattleSlew系,シルクヴェルサイユ,FNo.[7-f],スペシャルウィーク,不明
2019100487,フリオーソ,Roberto系,マミーフェスト,FNo.[12],エイシンサンディ,不明
2019100489,エイシンヒカリ,Halo系,エテ,FNo.[6-f],Congrats(米),不明
2019100492,リーチザクラウン,Halo系,セイウンチャーム,FNo.[4-m],Dominus,不明
2019100493,ヴィクトワールピサ,Halo系,タイクローサ,FNo.[8-c],フォーティナイナーFortyNiner(米),不明
2019100494,リーチザクラウン,Halo系,ニシノアストライア,FNo.[2-s],ジャングルポケット,不明
2019100495,リーチザクラウン,Halo系,ニシノオマージュ,FNo.[A1],ストリートセンスStreetSense(米),不明
2019100498,メイショウボーラー,Halo系,ニシノマメフク,FNo.[5-h],スペシャルウィーク,不明
2019100499,ウインバリアシオン,Halo系,ネオシアリーズ,FNo.[1-c],デュランダル,不明
2019100500,トーセンジョーダン,ゼダーン系,ポートドラルーン,FNo.[3-e],チチカステナンゴChichicastenango(仏),不明
2019100502,ジャングルポケット,ゼダーン系,ミフユ,FNo.[3-l],ティンバーカントリーTimberCountry(米),不明
2019100504,レッドスパーダ,Halo系,オギノシュタイン,FNo.[14-f],ディープインパクト,不明
2019100510,カレンブラックヒル,Halo系,シャフィガShafiga(米),FNo.[9-c],Woodman,不明
2019100512,マスクゾロ,Mr.Prospector系,レイズアセイル,FNo.[1-k],ハーツクライ,不明
2019100521,ストロングリターン,Roberto系,チェルカービレ,FNo.[2-i],ダイワメジャー,不明
2019100522,ロゴタイプ,sWells系,トウカイアンジュ,FNo.[19-b],ハービンジャーHarbinger(英),不明
2019100523,モーリス,Roberto系,トウカイセレブ,FNo.[19-b],キングカメハメハ,不明
2019100524,エイシンフラッシュ,Mr.Prospector系,トウカイベルタ,FNo.[19-b],ワイルドラッシュWildRush(米),不明
2019100525,キンシャサノキセキ,Halo系,トウカイミーロ,FNo.[19-b],ワークフォースWorkforce(英),不明
2019100526,ドレフォンDrefong(米),StormBird系,トウカイメガミ,FNo.[19-b],サンデーサイレンスSundaySilence(米),不明
2019100527,ベーカバドBehkabad(仏),Danzig系,マリーシャンタル,FNo.[8-f],サンデーサイレンスSundaySilence(米),不明
2019100529,バゴBago(仏),BlushingGroom系,レースパイロット,FNo.[22],サンデーサイレンスSundaySilence(米),不明
2019100533,アジアエクスプレス,StormBird系,チュロ,FNo.[7-c],キングヘイロー,不明
2019100536,キンシャサノキセキ,Halo系,アポセカリーApothecary(英),FNo.[7-f],Manduro(独),不明
2019100537,オルフェーヴル,Halo系,アレキパ,FNo.[4-n],スペシャルウィーク,不明
2019100539,ロードカナロア,Mr.Prospector系,スペシャルディナー,FNo.[5-j],スペシャルウィーク,不明
2019100540,アメリカンペイトリオット,Danzig系,タガノガルーダ,FNo.[2-n],ネオユニヴァース,不明
2019100541,ドレフォンDrefong(米),StormBird系,タガノキャンドル,FNo.[12-d],アグネスタキオン,不明
2019100543,ハーツクライ,Halo系,タガノジョイナー,FNo.[3],キングカメハメハ,不明
2019100545,コパノリッキー,Halo系,タガノトリオンフ,FNo.[13-a],ワイルドラッシュWildRush(米),不明
2019100546,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,タガノバトラ,FNo.[10-a],フレンチデピュティFrenchDeputy(米),不明
2019100547,エピファネイア,Roberto系,タガノミューチャン,FNo.[8-h],ハーツクライ,不明
2019100548,ザファクター,Danzig系,タガノラヴキセキ,FNo.[2-n],フジキセキ,不明
2019100549,キタサンブラック,Halo系,タガノレヴェントン,FNo.[9-f],キングカメハメハ,不明
2019100551,ブラックタイド,Halo系,チャーリーズ,FNo.[3],キングカメハメハ,不明
2019100552,ケープブランコCapeBlanco(英),sWells系,トウシンヴィーナス,FNo.[31],ディープインパクト,不明
2019100553,ディスクリートキャットDiscreetCat(米),StormBird系,ドナリサ,FNo.[23-b],サウスヴィグラス,不明
2019100556,ケープブランコCapeBlanco(英),sWells系,ブランジェリーナ,FNo.[9-c],SmartyJones(米),不明
2019100558,ドゥラメンテ,Mr.Prospector系,ボルボレッタ,FNo.[20-a],ウォーエンブレムWarEmblem(米),不明
2019100559,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,ミトス,FNo.[11-g],エンパイアメーカーEmpireMaker(米),不明
2019100560,イスラボニータ,Halo系,ヤマカツセレーヌ,FNo.[7-d],キングカメハメハ,不明
2019100561,キタサンブラック,Halo系,ヤマカツリリー,FNo.[7-d],ティンバーカントリーTimberCountry(米),不明
2019100562,ディスクリートキャットDiscreetCat(米),StormBird系,ラヴソレイユ,FNo.[4-r],フジキセキ,不明
2019100565,エピファネイア,Roberto系,エイコーンウィル,FNo.[1-b],キングカメハメハ,不明
2019100566,ロードカナロア,Mr.Prospector系,オルトリンデ,FNo.[9-f],ダンスインザダーク,不明
2019100567,ロジユニヴァース,Halo系,ギンザヴィクトリア,FNo.[7-c],ゼンノロブロイ,不明
2019100568,シニスターミニスターSinisterMinister(米),SeattleSlew系,クインズストリーク,FNo.[2-h],ゴールドアリュール,不明
2019100569,ドレフォンDrefong(米),StormBird系,クインズメンテ,FNo.[9-e],ゼンノロブロイ,不明
2019100570,キズナ,Halo系,クローバーナイトCloverNight(米),FNo.[25],Henrythenavigator(米),不明
2019100571,キンシャサノキセキ,Halo系,ケイアイアテナ,FNo.[9-e],AfleetAlex,不明
2019100572,キタサンブラック,Halo系,シャンスイ,FNo.[3-n],スウェプトオーヴァーボードSweptOverboard(米),不明
2019100574,ダンカークDunkirk(米),Mr.Prospector系,ジョディーズロマン,FNo.[12-c],サムライハート,不明
2019100575,エピファネイア,Roberto系,スカーレットダンス,FNo.[4-d],ダンスインザダーク,不明
2019100577,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,セイユウヴィーナス,FNo.[20-a],ハーツクライ,不明
2019100578,キンシャサノキセキ,Halo系,ネネグース,FNo.[20-c],クロフネ,不明
2019100579,トーセンラー,Halo系,バシマー,FNo.[2-f],GrandLodge(米),不明
2019100580,モーリス,Roberto系,バリアーモ,FNo.[4-m],シンボリクリスエス,不明
2019100581,キズナ,Halo系,フィックルベリー,FNo.[16-f],Cryptoclearance,不明
2019100582,アジアエクスプレス,StormBird系,ブリトマルティス,FNo.[21-a],スペシャルウィーク,不明
2019100584,ダイワメジャー,Halo系,プリンセスルーシーPrincessLucy(愛),FNo.[5-g],StrategicPrince,不明
2019100586,アドマイヤムーン,Mr.Prospector系,マコトサンパギータ,FNo.[6-a],ジャングルポケット,不明
2019100588,トゥザワールド,Mr.Prospector系,ムスタパルタ,FNo.[9-e],Tapit(米),不明
2019100590,ロードカナロア,Mr.Prospector系,レゼトワール,FNo.[1-b],ファスリエフFasliyev(米),不明
2019100591,ダイワメジャー,Halo系,ロックフェアレディ,FNo.[7-c],ロックオブジブラルタル,不明
2019100592,ブラックタイド,Halo系,ガンダーラプソディ,FNo.[22],ジェイドロバリーJadeRobbery(米),不明
2019100593,エイシンフラッシュ,Mr.Prospector系,ジョリーダンス,FNo.[4-r],ダンスインザダーク,不明
2019100594,キングカメハメハ,Mr.Prospector系,ボーテセレスト,FNo.[22],ステイゴールド,不明
2019100596,イスラボニータ,Halo系,ヤマニンエマイユ,FNo.[10-d],ホワイトマズルWhiteMuzzle(英),不明
2019100597,サトノアラジン,Halo系,ヤマニンカルフール,FNo.[10-d],エリシオHelissio(仏),不明
2019100598,ヴィクトワールピサ,Halo系,ヤマニンギモーヴ,FNo.[10-d],アグネスデジタル,不明
2019100599,ジャスタウェイ,Halo系,ヤマニングロワール,FNo.[10-d],フレンチデピュティFrenchDeputy(米),不明
2019100600,メイショウサムソン,sWells系,ヤマニンシェリル,FNo.[10-d],アグネスタキオン,不明
2019100601,ダイワメジャー,Halo系,ヤマニンシュクル,FNo.[3-c],トウカイテイオー,不明
2019100602,ザファクター,Danzig系,ヤマニンナジャーハ,FNo.[3-c],ディープインパクト,不明
2019100603,シンボリクリスエス,Roberto系,ヤマニンバステト,FNo.[1-w],ディープインパクト,不明
2019100604,ダイワメジャー,Halo系,ヤマニンパピオネ,FNo.[10-d],スウェプトオーヴァーボードSweptOverboard(米),不明
2019100605,ロージズインメイRosesinMay(米),Halo系,ヤマニンプチガトー,FNo.[10-d],ヤマニンセラフィム,不明
2019100606,ディープインパクト,Halo系,ヤマニンプードレ,FNo.[10-d],チチカステナンゴChichicastenango(仏),不明
2019100607,ノヴェリストNovellist(愛),Blandford系,ヤマニンメルベイユ,FNo.[3-c],メジロマックイーン,不明
2019100608,エピファネイア,Roberto系,ヤマニンラレーヌ,FNo.[3-c],ヤマニンセラフィム,不明
2019100609,エイシンフラッシュ,Mr.Prospector系,ヤマニンリップル,FNo.[1-m],スペシャルウィーク,不明
2019100611,ハーツクライ,Halo系,アジアンミーティア,FNo.[4-m],Unbridled,不明
2019100612,ルーラーシップ,Mr.Prospector系,アディアフォーン,FNo.[13-a],ダンスインザダーク,不明
2019100613,キズナ,Halo系,アルデュイナ,FNo.[4-m],クロフネ,不明
2019100614,トランセンド,Nearctic系,アルマミーア,FNo.[16-c],ディープインパクト,不明
2019100615,ワンアンドオンリー,Halo系,アンシャンタン,FNo.[2],Unbridled'sSong(米),不明
2019100616,アメリカンペイトリオット,Danzig系,アンドレルノートル,FNo.[A4],サンデーサイレンスSundaySilence(米),不明
2019100617,シニスターミニスターSinisterMinister(米),SeattleSlew系,ウィッシュハピネス,FNo.[16-g],ゴールドアリュール,不明
2019100618,ブラックタイド,Halo系,ヴァイセフラウ,FNo.[8-h],キングカメハメハ,不明
2019100620,キズナ,Halo系,ヴェルディアーナ,FNo.[1-x],PerfectSoul,不明
2019100621,ハーツクライ,Halo系,ヴェントス,FNo.[9-e],ウォーエンブレムWarEmblem(米),不明
2019100622,ダイワメジャー,Halo系,ヴォルドニュイ,FNo.[8-c],SkyMesa,不明
2019100623,ラニ,SeattleSlew系,エミナ,FNo.[20-c],デインヒルDanehill(米),不明
2019100624,アメリカンペイトリオット,Danzig系,エレーデ,FNo.[10-d],ディープインパクト,不明
2019100625,パイロPyro(米),SeattleSlew系,カスクドール,FNo.[20],ダンスインザダーク,不明
2019100627,ドレフォンDrefong(米),StormBird系,キエレ,FNo.[13-c],DistortedHumor(米),不明
2019100628,ディープインパクト,Halo系,キトゥンズクイーンKitten'sQueen(米),FNo.[18],Kitten'sJoy(米),不明
2019100629,マジェスティックウォリアーMajesticWarrior(米),SeattleSlew系,キングベイビー,FNo.[A4],マンハッタンカフェ,不明
2019100630,キズナ,Halo系,クイーンパイレーツ,FNo.[4-d],キングカメハメハ,不明
2019100631,シニスターミニスターSinisterMinister(米),SeattleSlew系,クライミングローズ,FNo.[13-a],マンハッタンカフェ,不明
2019100632,キズナ,Halo系,クリアリーコンフューズドClearlyConfused(米),FNo.[16-c],SuccessfulAppeal(米),不明
2019100633,キズナ,Halo系,ケープジャスミン,FNo.[A29],クロフネ,不明
2019100635,ラニ,SeattleSlew系,コンプリカーター,FNo.[1-l],Mr.Prospector,不明
2019100636,ラニ,SeattleSlew系,サリエル,FNo.[14-f],キングカメハメハ,不明
2019100637,キズナ,Halo系,ザナ,FNo.[1-u],Galileo(愛),不明
2019100638,ラニ,SeattleSlew系,シェルエメール,FNo.[1-k],ジャングルポケット,不明
2019100640,キングカメハメハ,Mr.Prospector系,シャスターデイジー,FNo.[A4],アグネスタキオン,不明
2019100641,ワンアンドオンリー,Halo系,シャンパンルージュ,FNo.[31],ファスリエフFasliyev(米),不明
2019100642,キンシャサノキセキ,Halo系,ジャルダンスクレ,FNo.[23-b],Medagliad'Oro,不明
2019100643,トランセンド,Nearctic系,スイートメドゥーサ,FNo.[10-d],アグネスタキオン,不明
2019100644,ゼンノロブロイ,Halo系,スティーリンキッシーズStealin'Kisses(米),FNo.[3-o],SkyMesa,不明
2019100648,キングカメハメハ,Mr.Prospector系,デビュタント,FNo.[3-o],ディープインパクト,不明
2019100649,ハーツクライ,Halo系,ドリームジョブDreamJob(英),FNo.[14-a],Dubawi,不明
2019100650,キズナ,Halo系,ナギット,FNo.[1-x],SmartStrike(加),不明
2019100651,トランセンド,Nearctic系,ネフェルティティ,FNo.[23-b],ゴールドアリュール,不明
2019100652,モーリス,Roberto系,ハギノエスカーダ,FNo.[8-f],タートルボウルTurtleBowl(愛),不明
2019100653,サトノアラジン,Halo系,ハギノナトゥーラ,FNo.[1-o],ダイワメジャー,不明
2019100654,スクリーンヒーロー,Roberto系,ハーモニー,FNo.[A13],StreetCry(愛),不明
2019100655,キズナ,Halo系,ピンウィール,FNo.[9-f],キングカメハメハ,不明
2019100657,キズナ,Halo系,フェアエレン,FNo.[10-a],StreetCry(愛),不明
2019100659,ロードカナロア,Mr.Prospector系,ブルーモーメント,FNo.[A4],ダンスインザダーク,不明
2019100662,ハービンジャーHarbinger(英),Danzig系,ユースティティア,FNo.[1-n],フジキセキ,不明
2019100663,ディープインパクト,Halo系,ラヴェリータ,FNo.[23-b],Unbridled'sSong(米),不明
2019100664,キズナ,Halo系,ラトナプラ,FNo.[2-g],DistortedHumor(米),不明
2019100665,クロフネ,DeputyMinister系,ラナンキュラス,FNo.[13-a],スペシャルウィーク,不明
2019100666,スクリーンヒーロー,Roberto系,ラベ,FNo.[8-f],ダンスインザダーク,不明
2019100667,キズナ,Halo系,ルミエールヴェリテ,FNo.[20],Cozzene,不明
2019100668,ディープインパクト,Halo系,ロードクロサイト,FNo.[1-x],Unbridled'sSong(米),不明
2019100675,アドマイヤムーン,Mr.Prospector系,ポポチャン,FNo.[1-x],トウカイテイオー,不明
2019100676,クロフネ,DeputyMinister系,アスタラビクトリア,FNo.[8-d],ネオユニヴァース,不明
2019100677,ダイワメジャー,Halo系,ウメノファイバー,FNo.[1-b],サクラユタカオー,不明
2019100678,カレンブラックヒル,Halo系,ウルド,FNo.[2-f],ハービンジャーHarbinger(英),不明
2019100679,ドレフォンDrefong(米),StormBird系,キンナリー,FNo.[3-o],ディープブリランテ,不明
2019100682,キズナ,Halo系,フルボイス,FNo.[9],ルーラーシップ,不明
2019100683,ストロングリターン,Roberto系,ブランカ,FNo.[13-c],ディープインパクト,不明
2019100684,キズナ,Halo系,ベラルーサBelarusa(亜),FNo.[5-g],Orpen,不明
2019100685,ドレフォンDrefong(米),StormBird系,ミニョネット,FNo.[9-f],クロフネ,不明
2019100686,ロードカナロア,Mr.Prospector系,ラビルキンLaBirkin(亜),FNo.[3-h],IndygoShiner,不明
2019100687,アジアエクスプレス,StormBird系,アガペー,FNo.[19],シンボリクリスエス,不明
2019100688,モーリス,Roberto系,アースサウンド,FNo.[1-o],YesIt'sTrue,不明
2019100689,フェノーメノ,Halo系,ヴァニラシャンティ,FNo.[3-l],シンボリクリスエス,不明
2019100690,コパノリッキー,Halo系,ケイアイリブラ,FNo.[4-d],アグネスデジタル,不明
2019100693,ハーツクライ,Halo系,ナスノシベリウス,FNo.[1-o],Unbridled'sSong(米),不明
2019100695,キタサンブラック,Halo系,パールブロッサム,FNo.[7-f],アドマイヤドン,不明
2019100696,ラブリーデイ,Mr.Prospector系,ファービヨンド,FNo.[4-n],ディープスカイ,不明
2019100697,ディープブリランテ,Halo系,フェートデュヴァン,FNo.[2-n],メジロマックイーン,不明
2019100700,カレンブラックヒル,Halo系,ポンテペルレ,FNo.[4-n],GreenDesert,不明
2019100701,キタサンブラック,Halo系,モンプティクール,FNo.[4-r],クロフネ,不明
2019100702,エイシンヒカリ,Halo系,ルヴェソンヴェール,FNo.[2-n],クロフネ,不明
2019100703,トランセンド,Nearctic系,コグノセンティ,FNo.[16-g],ゴールドアリュール,不明
2019100706,ストロングリターン,Roberto系,ダイワフェズブルー,FNo.[1-r],ネオユニヴァース,不明
2019100709,ワールドエース,Halo系,ボロブドゥール,FNo.[4-d],ハイアーゲーム,不明
2019100712,ホッコータルマエ,Mr.Prospector系,コハルタイム,FNo.[8-h],キャプテンスティーヴCaptainSteve(米),不明
2019100715,ザファクター,Danzig系,オウシュウフリート,FNo.[5-h],コロナドズクエストCoronado'sQuest(米),不明
2019100718,トゥザワールド,Mr.Prospector系,ヒカリヴィグラス,FNo.[8-k],サウスヴィグラス,不明
2019100721,アメリカンペイトリオット,Danzig系,プロハンター,FNo.[3-d],シーキングザダイヤ,不明
2019100722,ラニ,SeattleSlew系,シアージュ,FNo.[9-h],Raven'sPass,不明
2019100723,ヘニーハウンド,StormBird系,マザーレイク,FNo.[8-h],サンデーサイレンスSundaySilence(米),不明
2019100726,トーセンジョーダン,ゼダーン系,リープリング,FNo.[12],サンデーサイレンスSundaySilence(米),不明
2019100731,ヘニーヒューズHennyHughes(米),StormBird系,コンフォータブル,FNo.[16-a],ザールXaar(英),不明
2019100732,シルバーステート,Halo系,サマーコード,FNo.[2-d],スターリングローズ,不明
2019100734,リアルインパクト,Halo系,エターナルムーン,FNo.[14-b],マイネルラヴ,不明
2019100735,キズナ,Halo系,オピニオン,FNo.[7-e],アイルハヴアナザーI'llHaveAnother(米),不明
2019100736,ハーツクライ,Halo系,オーサムボスAwesomeBoss(米),FNo.[9-f],StreetBoss,不明
2019100739,スクリーンヒーロー,Roberto系,クラールハイト,FNo.[3-j],キングカメハメハ,不明
2019100740,オルフェーヴル,Halo系,クードヴァン,FNo.[6-b],ディープインパクト,不明
2019100741,ゴールドシップ,Halo系,グワダラハラGuadalajara(独),FNo.[22],Acatenango,不明
2019100742,ゴールドシップ,Halo系,ケイティラブ,FNo.[1-x],スキャンScan(米),不明
2019100744,ヴィクトワールピサ,Halo系,コスモコルデス,FNo.[16-g],ゴールドヘイロー,不明
2019100745,イスラボニータ,Halo系,コスモスカイライン,FNo.[13-c],グラスワンダー,不明
2019100746,ハーツクライ,Halo系,コスモピーコック,FNo.[12-b],Medicean,不明
2019100747,スクリーンヒーロー,Roberto系,コスモフットライト,FNo.[1-g],ネオユニヴァース,不明
2019100749,マツリダゴッホ,Halo系,コスモランゲル,FNo.[3-l],スターオブコジーンStarofCozzene(米),不明
2019100751,ダイワメジャー,Halo系,コスモルーシー,FNo.[1-x],マイネルラヴ,不明
2019100753,ラブリーデイ,Mr.Prospector系,サルヴェレジーナ,FNo.[16-h],スクリーンヒーロー,不明
2019100754,ラブリーデイ,Mr.Prospector系,シュペリユール,FNo.[3-e],サンデーサイレンスSundaySilence(米),不明
2019100755,アドマイヤマックス,Halo系,シーギリヤガール,FNo.[1-b],スターリングローズ,不明
2019100756,オルフェーヴル,Halo系,スウィートレイラニ,FNo.[1-m],ディープインパクト,不明
2019100759,ゴールドシップ,Halo系,スーパーウーマン,FNo.[8-a],マーベラスサンデー,不明
2019100760,ゴールドシップ,Halo系,ダブルフラワー,FNo.[3-l],サムライハート,不明
2019100762,コパノリッキー,Halo系,トウホクビジン,FNo.[3-n],スマートボーイ,不明
2019100763,ジャスタウェイ,Halo系,ドリームエンプレスDreamEmpress(米),FNo.[4-r],Bernstein,不明
2019100764,スクリーンヒーロー,Roberto系,ドリームローズ,FNo.[9-f],サクラバクシンオー,不明
2019100765,シルバーステート,Halo系,ニシノムーンライト,FNo.[4-i],Diesis,不明
2019100766,スクリーンヒーロー,Roberto系,ネオザミスティック,FNo.[14-c],ハーツクライ,不明
2019100768,キングカメハメハ,Mr.Prospector系,フライングメリッサ,FNo.[1-b],ダンスインザダーク,不明
2019100771,ゴールドシップ,Halo系,ホワイトウインド,FNo.[3-l],スウェプトオーヴァーボードSweptOverboard(米),不明
2019100772,ジョーカプチーノ,Halo系,マイネアラベスク,FNo.[1-t],キングズベストKing'sBest(米),不明
2019100773,ヴィクトワールピサ,Halo系,マイネアルデュール,FNo.[14],アドマイヤコジーン,不明
2019100774,ゴールドシップ,Halo系,マイネアルナイル,FNo.[4-m],ロージズインメイRosesinMay(米),不明
2019100775,スクリーンヒーロー,Roberto系,マイネイディール,FNo.[18],アドマイヤマックス,不明
2019100776,スクリーンヒーロー,Roberto系,マイネヴァリエンテ,FNo.[2-n],コンデュイットConduit(愛),不明
2019100777,ゴールドシップ,Halo系,マイネヴォヤージ,FNo.[9-f],Teofilo,不明
2019100779,ゴールドシップ,Halo系,マイネエスポワール,FNo.[3-l],アグネスデジタル,不明
2019100780,ゴールドシップ,Halo系,マイネエポナ,FNo.[4-d],キングカメハメハ,不明
2019100782,エピファネイア,Roberto系,マイネグロリアーナ,FNo.[1-x],RockHardTen,不明
2019100783,ジャスタウェイ,Halo系,マイネサヴァラン,FNo.[14-f],マンハッタンカフェ,不明
2019100784,ゴールドシップ,Halo系,マイネサマンサ,FNo.[22-b],ディアブロDiablo(米),不明
2019100785,アグネスデジタル,Mr.Prospector系,マイネサンサン,FNo.[7-c],スペシャルウィーク,不明
2019100786,スクリーンヒーロー,Roberto系,マイネショコラーデ,FNo.[2-n],ロージズインメイRosesinMay(米),不明
2019100787,ゴールドシップ,Halo系,マイネジャーダ,FNo.[A29],ジェイドロバリーJadeRobbery(米),不明
2019100788,ゴールドシップ,Halo系,マイネソルシエール,FNo.[8-a],ロージズインメイRosesinMay(米),不明
2019100790,オルフェーヴル,Halo系,マイネテレジア,FNo.[6-b],ロージズインメイRosesinMay(米),不明
2019100791,ジョーカプチーノ,Halo系,マイネデセール,FNo.[14-f],マイネルラヴ,不明
2019100792,スクリーンヒーロー,Roberto系,マイネトゥインクル,FNo.[16-h],ムタファーウエクMutafaweq(米),不明
2019100793,スクリーンヒーロー,Roberto系,マイネノンノ,FNo.[6-a],タイキシャトル,不明
2019100794,スクリーンヒーロー,Roberto系,マイネヒメル,FNo.[14-e],ロージズインメイRosesinMay(米),不明
2019100795,スクリーンヒーロー,Roberto系,マイネプリンセス,FNo.[3-l],アグネスデジタル,不明
2019100796,ゴールドシップ,Halo系,マイネプレセア,FNo.[4-m],マイネルラヴ,不明
2019100798,ジョーカプチーノ,Halo系,マイネルーチェ,FNo.[16-h],スペシャルウィーク,不明
2019100799,ロージズインメイRosesinMay(米),Halo系,マイネレーツェル,FNo.[9-c],ステイゴールド,不明
2019100800,ロージズインメイRosesinMay(米),Halo系,ミルルーテウス,FNo.[22],アグネスタキオン,不明
2019100801,グラスワンダー,Roberto系,ラスイエットロス,FNo.[16-a],ディープインパクト,不明
2019100802,スクリーンヒーロー,Roberto系,リアンドジュエリー,FNo.[19-b],クロフネ,不明
2019100803,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,コスモマクスウェル,FNo.[1-k],アドマイヤマックス,不明
2019100804,ラブリーデイ,Mr.Prospector系,ピノブラン,FNo.[2-n],クロフネ,不明
2019100805,グラスワンダー,Roberto系,マイネカトレア,FNo.[10-e],アグネスタキオン,不明
2019100806,ディーマジェスティ,Halo系,ラッフォルツァート,FNo.[16-b],グラスワンダー,不明
2019100807,ホッコータルマエ,Mr.Prospector系,アエノアビリティー,FNo.[6-a],ヨハネスブルグJohannesburg(米),不明
2019100808,トーセンラー,Halo系,インシスト,FNo.[2-o],シンボリクリスエス,不明
2019100814,メイショウボーラー,Halo系,ミスコマチ,FNo.[6],ステイゴールド,不明
2019100824,ドゥラメンテ,Mr.Prospector系,ゴールドグローリー,FNo.[6-a],ハービンジャーHarbinger(英),不明
2019100825,エスポワールシチー,Halo系,ゴールドジャパン,FNo.[9-b],スターリングローズ,不明
2019100827,ドゥラメンテ,Mr.Prospector系,ハチマンダイボサツ,FNo.[6-a],マーベラスサンデー,不明
2019100828,トゥザワールド,Mr.Prospector系,アンケセナーメン,FNo.[6-a],ブライアンズタイムBrian'sTime(米),不明
2019100829,メイショウボーラー,Halo系,ウインエルドール,FNo.[13-b],サンデーサイレンスSundaySilence(米),不明
2019100831,ハービンジャーHarbinger(英),Danzig系,カヒリ,FNo.[3-l],キングカメハメハ,不明
2019100835,ヘニーヒューズHennyHughes(米),StormBird系,シュネーバル,FNo.[1-t],Lonhro(豪),不明
2019100836,ヘニーヒューズHennyHughes(米),StormBird系,スワン,FNo.[1-l],HighChaparral(愛),不明
2019100837,ドゥラメンテ,Mr.Prospector系,ビッグクィーン,FNo.[16-h],ブライアンズタイムBrian'sTime(米),不明
2019100839,ダンカークDunkirk(米),Mr.Prospector系,メイクユアデイ,FNo.[1-l],スペシャルウィーク,不明
2019100840,サンカルロ,Roberto系,ラブステイシー,FNo.[1-l],ステイゴールド,不明
2019100841,エピファネイア,Roberto系,ウインシップ,FNo.[A29],ルーラーシップ,不明
2019100844,ヘニーヒューズHennyHughes(米),StormBird系,ナスカザン,FNo.[3-d],ダイワメジャー,不明
2019100846,ノヴェリストNovellist(愛),Blandford系,フジチャン,FNo.[22-b],ネオユニヴァース,不明
2019100849,ビッグアーサー,テスコボーイ系,ロンギングシャネル,FNo.[2-d],ネオユニヴァース,不明
2019100853,カレンブラックヒル,Halo系,フェイストウショウ,FNo.[3-l],ファスリエフFasliyev(米),不明
2019100854,スピルバーグ,Halo系,アオバ,FNo.[1-s],ブライアンズタイムBrian'sTime(米),不明
2019100855,ヘニーヒューズHennyHughes(米),StormBird系,アリーAlly(米),FNo.[7],DeputyMinister,不明
2019100856,タイムパラドックス,Roberto系,インフィニート,FNo.[13-c],ルーラーシップ,不明
2019100857,ルーラーシップ,Mr.Prospector系,インプレショニスト,FNo.[14-c],ディープインパクト,不明
2019100858,アポロキングダム,Mr.Prospector系,ウィットウォーター,FNo.[22],ヨハネスブルグJohannesburg(米),不明
2019100861,ドゥラメンテ,Mr.Prospector系,グランシャルム,FNo.[2-d],DylanThomas(愛),不明
2019100864,ロードカナロア,Mr.Prospector系,シンジュボシ,FNo.[12-c],ダイワメジャー,不明
2019100865,エピファネイア,Roberto系,ストームイメージ,FNo.[23-b],ダンスインザダーク,不明
2019100868,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,テイエムプリンセス,FNo.[7],ネオユニヴァース,不明
2019100870,キズナ,Halo系,ナンシー,FNo.[4-r],フレンチデピュティFrenchDeputy(米),不明
2019100871,コパノリッキー,Halo系,ハニードント,FNo.[4-r],クロフネ,不明
2019100873,ロードカナロア,Mr.Prospector系,フェアリーバニヤン,FNo.[13-c],HonourandGlory,不明
2019100874,エピファネイア,Roberto系,フラワーハート,FNo.[13-c],サムライハート,不明
2019100875,シルバーステート,Halo系,フルマークス,FNo.[8-c],Kitten'sJoy(米),不明
2019100876,コパノリッキー,Halo系,ブライアンズレター,FNo.[8-g],ナリタブライアン,不明
