グレード,頭数,レース数,1着率(%),複勝率(%),平均着順%
A,691,582,25.03617945007236,49.782923299565844,0.2935397827912938
B,34994,4354,9.761673429730811,27.979082128364862,0.43959089520866496
C,22211,4269,3.3451893206069068,12.642384404124082,0.5810483058672549
